gene_id	gene_set
DLST	KGDHC
OGDH	KGDHC
ALDOA	Glycolytic
PGK1	Glycolytic
LDHA	Glycolytic
SLC16A3	Glycolytic
ATP5F1A	OXPHOS
NDUFS6	OXPHOS
UQCC3	OXPHOS
